Date,Open,High,Low,Close,Volume
07/07/2021,221.42,221.9,212.77,214.88,"56,375,942"
07/08/2021,209.46,218.14,206.82,217.6,"68,320,031"
07/09/2021,217.73,219.64,214.9,218.98,"54,421,710"
07/12/2021,220.73,229.08,220.72,228.57,"77,781,198"
07/13/2021,228.77,231.09,222.1,222.85,"62,898,336"
07/14/2021,223.58,226.2,217.61,217.79,"64,923,635"
07/15/2021,219.46,222.05,212.63,216.87,"60,628,773"
07/16/2021,218.23,218.9,214.07,214.74,"49,112,961"
07/19/2021,209.96,215.73,207.1,215.41,"63,891,337"
07/20/2021,217.33,220.8,213.5,220.17,"46,461,435"
07/21/2021,219.87,221.62,216.76,218.43,"41,860,064"
07/22/2021,218.81,220.72,214.87,216.42,"45,317,237"
07/23/2021,215.45,216.27,212.43,214.46,"43,814,863"
07/26/2021,216.99,222.73,215.7,219.21,"76,009,762"
07/27/2021,221.13,222.17,209.08,214.93,"98,439,970"
07/28/2021,215.66,218.32,213.13,215.66,"48,019,853"
07/29/2021,216.6,227.9,216.27,225.78,"91,184,018"
07/30/2021,223.92,232.51,223.0,229.07,"88,969,323"
08/02/2021,233.33,242.31,232.8,236.56,"100,847,415"
08/03/2021,239.67,240.88,233.67,236.58,"64,860,818"
08/04/2021,237.0,241.63,236.31,236.97,"51,008,003"
08/05/2021,238.67,240.32,237.14,238.21,"38,758,960"
08/06/2021,237.3,238.78,232.54,233.03,"46,869,196"
08/09/2021,236.72,239.68,235.04,237.92,"44,146,093"
08/10/2021,238.0,238.86,233.96,236.66,"40,296,969"
08/11/2021,237.57,238.39,234.74,235.94,"29,401,705"
08/12/2021,235.45,240.93,233.13,240.75,"53,045,122"
08/13/2021,241.24,243.3,238.11,239.06,"50,194,459"
08/16/2021,235.02,236.5,225.47,228.72,"69,309,969"
08/17/2021,224.22,224.86,216.28,221.9,"71,163,911"
08/18/2021,223.25,231.92,223.12,229.66,"61,048,207"
08/19/2021,226.07,228.85,222.53,224.49,"42,940,512"
08/20/2021,227.62,230.71,224.57,226.75,"44,525,653"
08/23/2021,228.48,237.38,226.92,235.43,"60,794,640"
08/24/2021,236.89,238.41,234.21,236.16,"39,249,248"
08/25/2021,235.68,238.99,234.67,237.07,"37,936,720"
08/26/2021,236.1,238.47,232.54,233.72,"39,642,908"
08/27/2021,235.0,238.33,234.03,237.31,"41,501,323"
08/30/2021,238.24,243.67,237.58,243.64,"55,812,721"
08/31/2021,244.33,246.8,242.15,245.24,"62,566,382"
09/01/2021,244.69,247.33,243.76,244.7,"39,613,061"
09/02/2021,244.83,246.99,243.51,244.13,"38,390,260"
